"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study","competence","warmness"
121,5,4,4,4,4,5,4,5,4,5,4,5,"female",4,"female",21,"secondary school",5,"hungarian",1,"non_face_emoji","study2",1.23209643398976,0.0180763960814772
125,4,4,3,4,4,4,3,5,5,4,4,3,"male",4,"female",16,"primary school",1,"hungarian",1,"non_face_emoji","study2",0.67972127491113,-0.480058847092232
127,5,5,4,4,4,4,5,5,5,5,4,4,"female",5,"female",18,"secondary school",4,"hungarian",1,"non_face_emoji","study2",0.936764564489124,0.758161156694137
129,5,5,5,5,5,5,5,5,5,5,5,5,"male",5,"female",15,"primary school",5,"hungarian",1,"non_face_emoji","study2",1.50130077942512,1.32822532112733
131,4,3,2,4,3,3,3,3,3,4,4,2,"female",5,"female",18,"primary school",5,"hungarian",1,"non_face_emoji","study2",0.0683096824226605,-1.67139827121745
135,5,4,3,4,4,3,4,3,3,3,3,3,"male",4,"female",21,"secondary school",4,"hungarian",1,"non_face_emoji","study2",0.142358849952678,-0.866275546597268
70,5,5,5,4,4,4,3,5,3,5,4,4,"female",4,"female",16,"primary school",2,"hungarian",1,"non_face_emoji","study2",1.01872009380479,-0.0962301093546228
143,4,4,5,4,4,4,4,4,4,5,5,3,"female",4,"female",15,"primary school",4,"hungarian",1,"non_face_emoji","study2",0.585239981689318,0.447979264288492
153,4,5,5,5,5,5,5,5,5,5,5,5,"female",4,"female",21,"secondary school",4,"hungarian",1,"non_face_emoji","study2",1.31493515721828,1.45680145460548
5,4,4,5,4,4,4,5,5,5,4,5,3,"female",4,"male",24,"secondary school",3,"danish",0,"no_emoji","study1",0.440588816106431,1.16530507035972
8,3,4,5,4,2,4,4,5,4,3,4,3,"male",4,"female",25,"bachelor",3,"danish",0,"no_emoji","study1",-0.249926981864619,0.646829341168378
10,1,2,4,4,2,3,4,4,3,2,3,1,"male",2,"female",23,"secondary school",5,"danish",0,"no_emoji","study1",-1.34724939328572,-0.400326770469764
11,4,5,5,5,4,5,5,5,5,4,4,3,"male",5,"male",24,"bachelor",4,"danish",0,"no_emoji","study1",0.676447140434033,1.27027165958118
13,3,4,3,4,3,4,3,3,2,3,3,3,"male",3,"male",22,"secondary school",3,"danish",0,"no_emoji","study1",-0.177452266505615,-1.17330172269028
19,4,5,5,5,3,5,5,3,5,4,4,3,"male",5,"female",28,"secondary school",5,"danish",0,"no_emoji","study1",0.295856615376922,1.19166100307743
20,3,5,5,5,4,4,5,5,4,4,4,4,"male",4,"female",23,"bachelor",4,"danish",0,"no_emoji","study1",0.449962900603392,1.21777383136344
25,1,3,4,3,2,3,3,3,4,3,3,2,"male",3,"female",48,"bachelor",4,"danish",0,"no_emoji","study1",-1.18523862300562,-0.39466528985468
28,3,4,4,3,2,2,4,1,2,3,2,1,"female",2,"male",51,"secondary school",1,"danish",0,"no_emoji","study1",-1.4389966306154,-0.812674641326805
41,3,4,4,4,3,4,4,5,4,4,3,2,"male",3,"male",28,"secondary school",2,"danish",0,"no_emoji","study1",-0.0280262854395699,0.000934042752383943
43,2,4,4,2,2,2,4,3,4,2,3,3,"male",2,"female",24,"secondary school",4,"danish",0,"no_emoji","study1",-1.40837188151335,0.180277331820245
48,4,3,4,5,2,4,3,3,4,3,3,2,"male",4,"female",22,"bachelor",4,"danish",0,"no_emoji","study1",-0.196054066576717,-0.754722283142619
49,1,4,3,4,3,3,5,4,5,2,3,4,"male",4,"female",23,"secondary school",3,"danish",0,"no_emoji","study1",-0.788562802972475,0.671608011176744
50,2,3,4,2,2,1,3,1,2,2,3,2,"male",2,"female",24,"secondary school",4,"danish",0,"no_emoji","study1",-1.84052239791903,-1.05639388672011
53,5,5,4,5,5,5,5,4,5,3,5,3,"male",5,"male",24,"bachelor",2,"danish",0,"no_emoji","study1",0.888331735069888,0.90081743130228
60,3,4,4,5,4,4,4,4,4,3,4,2,"male",5,"male",22,"secondary school",4,"danish",0,"no_emoji","study1",0.0721577485908646,0.12583967051411
61,3,4,2,1,2,2,3,3,4,2,2,1,"male",2,"male",26,"secondary school",4,"danish",0,"no_emoji","study1",-1.43663088865285,-1.33339786537305
